Player,Position,Points,Cost,Team
Justin Jefferson,WR,260.2,66.9,MIN
Christian McCaffrey,RB,276.9,66.1,SF
Ja'Marr Chase,WR,253.6,62.4,CIN
Austin Ekeler,RB,265.7,57,LAC
Tyreek Hill,WR,249.1,51.7,MIA
Cooper Kupp,WR,245,51,LAR
Travis Kelce,TE,234.7,54.7,KC
Bijan Robinson,RB,227.7,53.9,ATL
CeeDee Lamb,WR,230.1,43.1,DAL
Stefon Diggs,WR,223,46,BUF
Josh Jacobs,RB,230.7,43.5,LV
Davante Adams,WR,224.7,41.8,LV
Nick Chubb,RB,233.7,49.9,CLE
Derrick Henry,RB,231.3,43.7,TEN
Saquon Barkley,RB,230.8,51.3,NYG
Tony Pollard,RB,227.1,42.5,DAL
A.J. Brown,WR,212.1,39,PHI
Joe Mixon,RB,221.1,18.6,CIN
Amon-Ra St. Brown,WR,208.3,34.9,DET
Patrick Mahomes II,QB,383.8,32.4,KC
Jonathan Taylor,RB,223.9,53.7,IND
Rhamondre Stevenson,RB,211.5,32.3,NE
Josh Allen,QB,380.5,26.4,BUF
Aaron Jones,RB,213.5,22,GB
Jalen Hurts,QB,378.5,28.5,PHI
Jaylen Waddle,WR,201.4,31.9,MIA
Breece Hall,RB,206.8,34.8,NYJ
Najee Harris,RB,204.4,31,PIT
Travis Etienne Jr.,RB,199.2,33.7,JAC
Garrett Wilson,WR,192.1,36.5,NYJ
Tee Higgins,WR,188.1,27,CIN
Amari Cooper,WR,186.3,16.9,CLE
Deebo Samuel,WR,186.8,16.5,SF
Chris Olave,WR,186.7,26.9,NO
Mark Andrews,TE,164.6,25.6,BAL
Lamar Jackson,QB,350.4,16.5,BAL
Joe Burrow,QB,350.3,15.6,CIN
Alexander Mattison,RB,187.6,9.3,MIN
James Conner,RB,189.2,8.3,ARI
Kenneth Walker III,RB,188.5,25.6,SEA
DeVonta Smith,WR,184.9,25.2,PHI
DK Metcalf,WR,182.6,19.8,SEA
T.J. Hockenson,TE,158.6,21.2,MIN
Jahmyr Gibbs,RB,181.6,18.7,DET
Dameon Pierce,RB,180.9,15.9,HOU
Keenan Allen,WR,179,13.7,LAC
Christian Watson,WR,178.7,4.2,GB
Calvin Ridley,WR,174.4,12,JAC
Jerry Jeudy,WR,176.8,5.1,DEN
Rachaad White,RB,171.6,5.7,TB
Miles Sanders,RB,172.3,17.9,CAR
Terry McLaurin,WR,174.1,9,WAS
Christian Kirk,WR,169.9,2.6,JAC
Mike Williams,WR,171,4,LAC
Chris Godwin,WR,170.5,5.3,TB
DeAndre Hopkins,WR,168.7,11.5,TEN
George Kittle,TE,146.6,15.6,SF
Isiah Pacheco,RB,155.4,7.3,KC
Mike Evans,WR,169.1,3.2,TB
Justin Fields,QB,326.7,11.2,CHI
J.K. Dobbins,RB,171.7,18.1,BAL
Cam Akers,RB,168.8,15.8,LAR
Justin Herbert,QB,321.5,7.5,LAC
David Montgomery,RB,162.8,7.7,DET
Alvin Kamara,RB,168.2,6.7,NO
DJ Moore,WR,163.6,9.3,CHI
Javonte Williams,RB,157.2,5.8,DEN
Drake London,WR,162.3,7.5,ATL
Marquise Brown,WR,159.5,2.4,ARI
Dallas Goedert,TE,134.6,9.2,PHI
Deshaun Watson,QB,311.8,3.2,CLE
D'Andre Swift,RB,153.5,5.1,PHI
James Cook,RB,146.7,4.1,BUF
Tyler Lockett,WR,158.5,10.1,SEA
Darren Waller,TE,132,5.5,NYG
Kyle Pitts,TE,130.5,7.1,ATL
Brandon Aiyuk,WR,155.4,4.8,SF
Brandin Cooks,WR,153.8,1.7,DAL
Diontae Johnson,WR,154.7,2.7,PIT
AJ Dillon,RB,142.3,2.8,GB
Dalvin Cook,RB,#N/A,11,#N/A
Michael Pittman Jr.,WR,155,3.9,IND
Trevor Lawrence,QB,299.3,6.8,JAC
Kirk Cousins,QB,300.3,1.7,MIN
Dak Prescott,QB,299.9,3.7,DAL
Brian Robinson Jr.,RB,137.7,3.1,WAS
Antonio Gibson,RB,143.6,1.7,WAS
Jahan Dotson,WR,148.7,1.5,WAS
Evan Engram,TE,118.6,4.2,JAC
Daniel Jones,QB,297.4,2,NYG
Geno Smith,QB,295.9,1.4,SEA
Samaje Perine,RB,131.1,1.7,DEN
George Pickens,WR,145.3,1.9,PIT
Gabe Davis,WR,144.5,2.3,BUF
Pat Freiermuth,TE,116.3,3,PIT
Khalil Herbert,RB,126,2.4,CHI
Jeff Wilson Jr.,RB,120.1,1.1,MIA
Jordan Addison,WR,141.2,1.6,MIN
Aaron Rodgers,QB,285.3,2,NYJ
Russell Wilson,QB,283.4,1.1,DEN
Rashaad Penny,RB,117.4,3,PHI
Jamaal Williams,RB,110.4,2.1,NO
Treylon Burks,WR,138,1.6,TEN
Michael Thomas,WR,134.4,2.4,NO
Kadarius Toney,WR,135.1,2,KC
JuJu Smith-Schuster,WR,135.7,1.3,NE
Dalton Schultz,TE,110.2,1.3,HOU
David Njoku,TE,110.7,2.3,CLE
Jared Goff,QB,277.8,1.3,DET
Tua Tagovailoa,QB,276.3,2.7,MIA
Raheem Mostert,RB,111.2,1.1,MIA
Elijah Mitchell,RB,110.4,1.4,SF
Damien Harris,RB,108.9,1.7,BUF
Jaxon Smith-Njigba,WR,129.1,1.5,SEA
Greg Dulcich,TE,104.8,1.3,DEN
Chigoziem Okonkwo,TE,105.6,1.2,TEN
Tyler Higbee,TE,105.8,1,LAR
Tyler Allgeier,RB,105.1,1.3,ATL
Jerick McKinnon,RB,109.6,1.5,KC
Devin Singletary,RB,99,1.2,HOU
Chuba Hubbard,RB,97.7,1.1,CAR
Zach Charbonnet,RB,99.5,2.1,SEA
Courtland Sutton,WR,127.3,1.2,DEN
Jakobi Meyers,WR,129.3,1.6,LV
Nico Collins,WR,124.9,1.2,HOU
Gerald Everett,TE,101.1,1.1,LAC
D'Onta Foreman,RB,98.5,1.2,CHI
Jaylen Warren,RB,94,1.1,PIT
De'Von Achane,RB,96.1,2,MIA
Ezekiel Elliott,RB,#N/A,1.4,#N/A
Rondale Moore,WR,122.9,1,ARI
Rashod Bateman,WR,127.5,1.1,BAL
Zay Flowers,WR,120.8,1.4,BAL
Tyler Boyd,WR,123.9,1.1,CIN
Cole Kmet,TE,99.1,1.2,CHI
Anthony Richardson,QB,261.3,1.6,IND
Leonard Fournette,RB,#N/A,1.4,#N/A
Gus Edwards,RB,79.2,1.1,BAL
Kenneth Gainwell,RB,85.9,1.1,PHI
Adam Thielen,WR,121.1,1.6,CAR
Zay Jones,WR,120.8,1.1,JAC
Allen Lazard,WR,120.9,1.2,NYJ
Juwan Johnson,TE,93.3,1,NO
Derek Carr,QB,253,1.1,NO
Tank Bigsby,RB,76.2,1.2,JAC
Chase Edmonds,RB,80.4,1,TB
Roschon Johnson,RB,85.3,1.3,CHI
Quentin Johnston,WR,114.1,1.7,LAC
Marquez Valdes-Scantling,WR,115.9,1,KC
Romeo Doubs,WR,114.3,1.4,GB
Darnell Mooney,WR,115.6,1.4,CHI
Hunter Renfrow,WR,113.8,1,LV
Dalton Kincaid,TE,87.4,1.3,BUF
Irv Smith Jr.,TE,89.7,1.2,CIN