"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Patrick Mahomes II","KC","609.8","405.5","4,831.0","37.7","11.2","64.9","356.8","3.2","1.9","383.8"
"Josh Allen","BUF","576.1","363.4","4,278.6","32.1","14.2","117.0","661.5","6.3","4.2","380.6"
"Jalen Hurts","PHI","493.7","317.8","3,820.2","23.7","10.1","157.6","800.8","11.0","2.9","377.7"
"Lamar Jackson","BAL","480.4","304.8","3,479.9","25.5","11.5","148.5","940.7","5.5","3.0","350.7"
"Joe Burrow","CIN","591.3","402.0","4,589.5","32.7","12.9","63.8","269.3","3.7","2.3","346.1"
"Justin Fields","CHI","408.0","251.0","2,911.1","20.1","12.8","161.3","1,070.9","6.9","3.5","325.5"
"Justin Herbert","LAC","627.2","421.4","4,592.9","30.1","12.7","57.1","220.9","2.0","2.0","321.6"
"Deshaun Watson","CLE","508.0","326.6","3,874.5","24.8","11.0","96.1","481.3","4.1","1.8","312.4"
"Dak Prescott","DAL","549.5","362.6","4,104.7","29.2","13.7","59.2","252.8","2.4","3.1","300.7"
"Trevor Lawrence","JAC","578.5","378.4","4,088.4","26.9","12.2","62.3","285.2","3.9","5.2","300.6"
"Kirk Cousins","MIN","593.1","395.2","4,443.2","30.5","12.3","31.6","92.0","1.5","2.8","300.1"
"Daniel Jones","NYG","515.7","335.5","3,472.4","20.8","10.0","109.4","636.9","4.9","4.1","297.1"
"Geno Smith","SEA","544.5","370.8","4,050.6","27.1","11.3","62.2","323.1","2.0","3.5","296.3"
"Aaron Rodgers","NYJ","564.9","365.6","4,093.9","28.3","8.8","36.0","123.4","1.5","2.6","284.5"
"Russell Wilson","DEN","510.7","321.7","3,791.7","23.9","10.9","63.4","317.4","2.6","2.1","279.6"
"Tua Tagovailoa","MIA","524.1","345.8","4,069.0","27.0","12.0","42.3","131.7","1.6","1.8","278.1"
"Jared Goff","DET","568.8","373.6","4,223.2","27.6","10.9","31.2","80.7","1.2","3.5","276.7"
"Anthony Richardson","IND","486.6","300.6","3,201.7","18.0","13.2","130.2","585.9","4.0","2.6","264.6"
"Derek Carr","NO","512.0","336.5","3,955.4","23.8","11.9","34.6","116.6","1.0","2.6","254.1"
"Kenny Pickett","PIT","502.3","317.0","3,310.0","17.5","12.3","67.0","421.4","3.6","1.5","250.8"
"Jordan Love","GB","544.0","344.1","3,809.9","23.1","14.8","43.0","166.7","1.5","2.6","250.2"
"Matthew Stafford","LAR","526.8","349.7","3,969.6","24.2","13.2","30.0","71.3","0.8","2.8","248.9"
"Brock Purdy","SF","431.5","281.8","3,348.4","23.8","9.8","36.1","107.1","2.1","1.4","239.5"
"Bryce Young","CAR","523.7","330.3","3,653.8","20.3","12.9","50.9","199.5","1.6","2.3","239.3"
"Jimmy Garoppolo","LV","483.9","319.6","3,556.5","21.2","11.9","30.3","66.5","1.5","2.3","226.2"
"C.J. Stroud","HOU","514.9","322.9","3,423.7","19.2","14.1","49.8","175.4","1.4","2.5","220.4"
"Ryan Tannehill","TEN","447.7","291.2","3,239.0","18.8","10.8","40.9","161.2","2.3","2.1","220.1"
"Mac Jones","NE","494.1","323.3","3,442.7","19.0","13.4","50.8","149.8","1.2","2.1","218.2"
"Kyler Murray","ARI","433.5","285.9","2,786.7","14.3","9.7","79.4","421.9","2.9","1.9","215.0"
"Sam Howell","WAS","477.0","298.0","3,056.6","17.0","12.3","50.8","211.3","1.7","2.4","204.6"
"Desmond Ridder","ATL","438.6","270.4","2,918.9","16.6","10.2","39.8","172.5","1.4","3.0","192.8"
"Baker Mayfield","TB","457.3","281.0","2,989.2","15.9","11.4","33.8","121.3","1.1","2.1","186.3"
"Jacoby Brissett","WAS","193.4","112.4","1,252.4","5.1","3.9","23.0","90.7","0.8","1.5","77.2"
"Kyle Trask","TB","228.7","138.3","1,375.3","6.0","6.5","18.8","50.5","0.2","1.2","76.7"
"Colt McCoy","ARI","165.2","107.0","1,177.2","4.5","4.6","17.4","58.8","0.5","1.0","67.4"
"Will Levis","TEN","137.1","84.8","992.7","4.1","4.5","18.3","60.5","0.3","0.9","57.7"
"Trey Lance","SF","126.5","77.8","802.5","3.1","3.5","23.1","94.2","0.6","0.8","52.3"
"Brian Hoyer","LV","98.1","59.5","742.8","4.0","4.0","10.4","32.5","0.2","0.8","44.7"
"Taylor Heinicke","ATL","99.0","60.6","704.7","3.8","3.9","18.1","51.0","0.2","1.2","43.4"
"Gardner Minshew II","IND","77.5","48.6","685.1","2.9","2.3","11.9","41.3","0.2","1.2","39.7"
"Sam Darnold","SF","124.7","72.6","608.9","2.5","3.7","15.6","44.5","0.1","1.1","33.5"
"Mike White","MIA","90.0","53.8","585.8","2.8","3.7","12.6","20.1","0.1","0.6","32.2"
"Bailey Zappe","NE","100.3","61.3","598.8","2.4","3.6","12.0","22.4","0.1","1.1","30.8"
"Clayton Tune","ARI","107.3","64.4","641.2","1.1","3.9","16.0","43.4","0.3","1.1","29.8"
"Davis Mills","HOU","84.6","49.6","515.7","1.6","4.0","14.5","31.7","0.2","0.6","26.4"
"Tyrod Taylor","NYG","42.0","27.2","285.9","2.0","1.3","14.3","59.2","0.2","0.3","24.9"
"Marcus Mariota","PHI","54.6","34.3","325.4","1.6","1.2","15.4","48.8","0.3","0.4","23.8"
"Brett Rypien","LAR","82.2","46.6","494.1","2.0","5.7","25.7","27.2","0.1","1.0","23.5"
"Tyler Huntley","BAL","55.5","34.7","322.9","1.4","1.4","20.7","62.9","0.2","0.5","23.4"
"Mitch Trubisky","PIT","59.7","39.3","366.6","1.6","1.7","8.7","26.1","0.2","0.2","23.0"
"Andy Dalton","CAR","67.5","42.0","416.5","1.9","2.4","7.4","15.9","0.1","0.4","23.0"
"Jarrett Stidham","DEN","58.3","33.3","340.4","2.2","2.1","4.9","10.6","0.1","0.4","21.3"
"Sean Clifford","GB","53.2","32.8","374.3","1.6","2.6","8.8","20.0","0.2","0.6","20.7"
"Hendon Hooker","DET","105.3","62.0","573.8","0.0","5.4","20.6","43.1","0.2","1.6","19.9"
"Teddy Bridgewater","DET","65.3","35.4","366.2","1.2","1.7","5.2","14.7","0.1","0.2","19.6"
"Easton Stick","LAC","38.4","24.2","286.9","1.8","1.5","4.0","10.4","0.3","0.2","19.3"
"Nick Mullens","MIN","45.8","34.4","339.9","1.9","2.1","5.0","8.8","0.1","0.7","19.3"
"P.J. Walker","CHI","85.7","43.6","369.3","1.5","4.0","9.9","21.6","0.1","0.4","18.9"
"Joshua Dobbs","CLE","54.7","32.5","337.1","1.5","2.6","10.7","27.2","0.1","0.6","18.9"
"Blaine Gabbert","KC","49.1","28.9","326.4","1.7","2.6","10.9","20.8","0.1","0.5","18.9"
"Trevor Siemian","CIN","65.9","40.0","336.3","1.7","2.7","11.4","16.9","0.1","0.5","18.7"
"Zach Wilson","NYJ","94.1","52.5","472.9","0.8","5.2","5.4","13.4","0.2","0.5","18.4"
"Stetson Bennett","LAR","69.3","43.0","356.6","1.1","1.7","8.8","18.2","0.1","0.5","18.4"
"Jameis Winston","NO","35.6","23.9","300.2","1.5","1.3","4.0","10.1","0.2","0.2","18.4"
"Drew Lock","SEA","50.8","27.8","318.1","1.6","2.7","5.5","16.1","0.1","0.5","17.5"
"C.J. Beathard","JAC","49.7","29.0","314.3","1.5","2.9","11.4","19.6","0.1","0.5","17.2"
"Cooper Rush","DAL","34.0","21.0","260.2","1.5","1.2","2.9","6.6","0.1","0.2","16.0"
"David Blough","ARI","87.0","52.0","307.6","1.2","2.0","7.0","12.8","0.0","0.5","15.6"
"Kyle Allen","BUF","61.1","37.9","409.6","1.2","5.2","10.3","25.6","0.2","2.3","15.0"
"Malik Willis","TEN","85.6","48.9","333.0","0.5","3.4","15.9","22.0","0.0","0.7","13.0"
"Matt Barkley","BUF","38.7","23.5","214.7","1.0","1.2","3.1","4.7","0.1","0.3","12.3"
"Aidan O'Connell","LV","61.7","36.5","281.4","0.5","2.4","10.8","16.9","0.1","0.6","12.2"
"Dorian Thompson-Robinson","CLE","46.9","28.0","265.3","0.5","2.6","10.2","21.8","0.1","0.8","11.3"
"Max Duggan","LAC","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","10.1"
"Jaren Hall","MIN","19.0","13.0","141.0","1.0","0.0","1.0","3.0","0.0","0.0","9.9"
"John Wolford","TB","57.4","32.4","281.4","1.3","7.4","26.2","39.1","0.0","1.6","9.8"
"Tanner McKee","PHI","16.0","10.0","120.0","1.0","0.0","1.0","6.0","0.0","0.0","9.4"
"Case Keenum","HOU","146.2","74.2","286.7","0.3","1.5","15.9","1.2","0.0","1.0","9.1"
"Skylar Thompson","MIA","90.7","51.5","243.7","0.7","4.0","26.5","20.4","0.0","0.9","9.1"
"Jake Haener","NO","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","9.1"
"Matt Corral","CAR","76.7","44.9","219.7","0.1","2.6","19.4","20.4","0.1","0.8","7.7"
"Mason Rudolph","PIT","10.0","7.0","28.2","0.6","0.5","17.1","11.2","0.0","0.0","4.1"
"Nate Sudfeld","DET","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"Tommy DeVito","NYG","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"Shane Buechele","KC","0.0","0.0","16.8","0.1","0.1","0.0","0.1","0.0","0.0","1.0"
"Will Grier","DAL","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
"Josh Johnson","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""