"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","104.9","1,241.8","9.8","0.6","182.3"
"Mark Andrews","BAL","75.0","887.2","6.3","0.4","127.2"
"T.J. Hockenson","MIN","82.4","830.9","5.7","0.5","116.6"
"George Kittle","SF","60.0","791.7","6.0","0.5","115.1"
"Darren Waller","NYG","65.5","798.3","4.6","0.6","106.2"
"Kyle Pitts","ATL","60.4","782.3","4.0","0.3","101.6"
"Dallas Goedert","PHI","64.5","756.4","4.2","0.6","99.9"
"Pat Freiermuth","PIT","60.2","637.8","4.1","0.5","87.2"
"Evan Engram","JAC","63.3","652.6","3.6","0.5","86.4"
"Chigoziem Okonkwo","TEN","47.9","582.9","3.8","0.0","83.7"
"David Njoku","CLE","53.7","582.8","4.2","0.5","83.1"
"Greg Dulcich","DEN","49.5","597.5","3.9","0.0","83.0"
"Dalton Schultz","HOU","56.1","579.4","4.2","0.5","82.0"
"Tyler Higbee","LAR","61.2","569.8","3.4","0.3","77.0"
"Gerald Everett","LAC","52.6","535.9","3.7","0.6","74.8"
"Juwan Johnson","NO","40.8","479.7","4.2","0.0","73.1"
"Dalton Kincaid","BUF","42.0","491.0","3.9","0.4","71.6"
"Cole Kmet","CHI","40.6","454.7","3.7","0.1","67.7"
"Hunter Henry","NE","41.6","495.8","3.0","0.1","67.4"
"Irv Smith Jr.","CIN","43.3","415.2","4.2","0.0","66.5"
"Sam LaPorta","DET","41.4","449.2","3.3","0.4","63.8"
"Noah Fant","SEA","45.4","466.8","2.8","0.1","63.6"
"Taysom Hill","NO","16.0","214.5","1.9","1.2","62.3"
"Hayden Hurst","CAR","45.3","440.8","3.1","0.5","61.9"
"Dawson Knox","BUF","35.4","399.5","3.5","0.2","60.5"
"Jelani Woods","IND","34.7","425.4","2.9","0.0","60.1"
"Tyler Conklin","NYJ","45.9","423.5","2.3","0.0","56.7"
"Cade Otton","TB","44.5","438.9","2.1","0.0","56.7"
"Zach Ertz","ARI","43.3","421.5","2.3","0.4","55.3"
"Mike Gesicki","NE","34.7","394.1","2.4","0.1","53.6"
"Logan Thomas","WAS","43.3","413.6","2.0","0.1","53.4"
"Michael Mayer","LV","36.7","383.2","2.6","0.4","53.1"
"Trey McBride","ARI","37.5","399.6","2.2","0.4","52.1"
"Isaiah Likely","BAL","24.5","309.2","2.2","0.0","44.3"
"Jake Ferguson","DAL","27.4","290.1","2.1","0.0","41.9"
"Luke Musgrave","GB","28.5","303.6","2.0","0.4","41.5"
"Austin Hooper","LV","28.5","303.6","1.7","0.0","40.6"
"Luke Schoonmaker","DAL","25.5","276.0","1.7","0.4","37.3"
"Robert Tonyan","CHI","21.5","239.7","1.6","0.0","33.9"
"Donald Parham Jr.","LAC","17.9","214.9","1.5","0.0","30.7"
"Brock Wright","DET","17.3","179.8","2.0","0.0","30.2"
"Jonnu Smith","ATL","18.9","214.9","1.2","0.0","29.5"
"Noah Gray","KC","20.1","224.9","1.0","0.0","29.4"
"Will Dissly","SEA","19.4","218.6","1.1","0.0","28.6"
"Jordan Akins","CLE","18.4","217.9","1.2","0.2","28.6"
"C.J. Uzomah","NYJ","18.3","198.8","1.4","0.0","28.5"
"Foster Moreau","NO","15.9","229.4","1.0","0.4","28.0"
"Josiah Deguara","GB","23.5","207.2","1.2","0.0","27.9"
"Durham Smythe","MIA","20.8","207.7","1.0","0.0","27.0"
"Kylen Granson","IND","18.4","212.3","0.8","0.0","26.5"
"Jimmy Graham","NO","19.9","189.6","1.3","0.1","26.5"
"Brenton Strange","JAC","22.6","193.7","1.3","0.4","26.3"
"Tommy Tremble","CAR","16.7","156.1","1.6","0.5","24.8"
"Harrison Bryant","CLE","17.7","187.9","0.9","0.2","23.9"
"Darnell Washington","PIT","15.2","194.8","0.8","0.4","23.7"
"Mo Alie-Cox","IND","12.0","165.7","1.3","0.5","23.2"
"Albert Okwuegbunam","DEN","13.7","171.4","1.0","0.3","22.6"
"Brevin Jordan","HOU","16.0","190.5","0.6","0.0","22.3"
"Colby Parkinson","SEA","14.7","172.8","0.8","0.0","22.1"
"Josh Oliver","MIN","15.6","151.6","1.1","0.0","21.7"
"Tucker Kraft","GB","13.0","165.5","1.0","0.4","21.5"
"Dan Arnold","PHI","10.0","165.7","0.8","0.2","21.1"
"Charlie Kolar","BAL","14.8","154.8","0.9","0.0","20.9"
"Peyton Hendershot","DAL","11.4","137.5","1.1","0.1","20.8"
"Elijah Higgins","MIA","11.0","161.6","0.7","0.1","20.3"
"Brycen Hopkins","LAR","13.0","149.8","0.9","0.0","20.2"
"Lawrence Cager","NYG","11.5","134.0","1.0","0.0","19.7"
"Adam Trautman","DEN","11.4","164.9","0.6","0.2","19.6"
"Ian Thomas","CAR","16.5","153.3","0.7","0.0","19.5"
"Daniel Bellinger","NYG","9.9","155.7","0.7","0.4","19.2"
"John Bates","WAS","14.3","141.2","0.7","0.0","18.1"
"Teagan Quitoriano","HOU","10.7","127.8","0.9","0.0","17.9"
"Blake Bell","KC","9.4","88.9","1.0","0.0","17.5"
"Cameron Latu","SF","13.1","123.7","0.8","0.0","17.1"
"Miller Forristall","CLE","11.0","109.0","1.0","0.0","16.9"
"Eric Saubert","MIA","13.1","123.6","0.7","0.0","16.8"
"Geoff Swaim","ARI","20.9","124.8","0.7","0.0","16.7"
"Stephen Sullivan","CAR","8.8","123.9","0.6","0.0","16.2"
"Tre' McKitty","LAC","11.9","123.0","0.6","0.0","16.0"
"Josh Whyle","TEN","10.5","115.0","0.7","0.0","15.9"
"Payne Durham","TB","13.7","119.6","0.6","0.4","15.5"
"James Mitchell","DET","8.4","111.5","0.7","0.0","15.0"
"Andrew Ogletree","IND","10.0","88.0","1.0","0.0","14.8"
"Davis Allen","LAR","16.2","105.6","0.8","0.4","14.8"
"Jody Fortson","KC","10.1","121.8","0.6","0.6","14.4"
"Connor Heyward","PIT","7.1","91.6","0.6","0.0","13.9"
"Zack Kuntz","NYJ","7.1","104.4","0.5","0.0","13.5"
"Brayden Willis","SF","10.0","94.4","0.7","0.1","13.2"
"Jeremy Ruckert","NYJ","6.5","100.7","0.5","0.0","13.2"
"Jack Stoll","PHI","10.0","105.8","0.4","0.0","13.1"
"Cole Turner","WAS","3.8","102.7","0.3","0.1","12.2"
"Zach Gentry","PIT","10.6","89.6","0.5","0.0","12.2"
"Hunter Long","LAR","5.3","94.3","0.5","0.1","12.1"
"Ko Kieft","TB","7.8","82.3","0.6","0.0","12.0"
"Ross Dwelley","SF","3.6","82.1","0.6","0.0","11.7"
"Marcedes Lewis","CHI","8.0","49.0","1.1","0.0","11.5"
"Tanner Hudson","CIN","8.0","86.6","0.4","0.0","11.3"
"Will Mallory","IND","5.1","80.1","0.5","0.0","10.8"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","10.6"
"Drew Sample","CIN","8.5","78.7","0.5","0.1","10.6"
"Andrew Beck","HOU","8.0","71.7","0.3","0.0","10.5"
"Quintin Morris","BUF","5.7","78.3","0.4","0.1","10.4"
"Tyler Kroft","MIA","7.0","66.3","0.6","0.0","10.1"
"Jesper Horsted","LV","5.8","68.3","0.5","0.0","9.7"
"Armani Rogers","WAS","7.3","74.4","0.4","0.1","9.6"
"Curtis Hodges","WAS","6.3","59.6","0.6","0.0","9.6"
"Giovanni Ricci","CAR","1.9","75.8","0.3","0.1","9.6"
"Chris Manhertz","DEN","5.1","67.8","0.4","0.0","9.2"
"Johnny Mundt","MIN","6.1","72.5","0.3","0.0","9.2"
"Stone Smartt","LAC","8.7","56.7","0.5","0.0","8.9"
"Grant Calcaterra","PHI","3.4","69.8","0.3","0.1","8.7"
"Luke Farrell","JAC","6.1","60.8","0.4","0.0","8.6"
"Devin Asiasi","CIN","5.6","58.7","0.4","0.0","8.4"
"Shane Zylstra","DET","3.9","66.1","0.3","0.1","8.4"
"Trevon Wesco","TEN","2.4","60.7","0.3","0.1","7.9"
"Kendall Blanton","KC","0.0","57.1","0.3","0.0","7.5"
"Anthony Firkser","NE","5.8","54.1","0.4","0.0","7.5"
"Eric Tomlinson","HOU","5.5","49.9","0.4","0.0","7.2"
"Tommy Sweeney","NYG","3.7","56.5","0.3","0.1","7.0"
"Kevin Rader","TEN","0.8","49.6","0.3","0.1","6.5"
"Parker Hesse","ATL","2.2","49.5","0.1","0.0","5.7"
"David Wells","TB","3.0","29.5","0.4","0.0","5.6"
"Tanner Conner","MIA","4.0","37.8","0.3","0.0","5.5"
"Dominique Dafney","TB","3.7","38.3","0.3","0.0","5.4"
"Jacob Hollister","LV","0.0","23.5","0.5","0.0","5.4"
"Charlie Woerner","SF","3.4","32.0","0.3","0.0","5.0"
"Mason Schreck","HOU","3.6","35.2","0.2","0.0","5.0"
"Dalton Keene","HOU","3.6","35.1","0.2","0.0","5.0"
"Chris Myarick","NYG","3.7","34.1","0.3","0.0","4.9"
"Sean McKeon","DAL","2.5","28.1","0.3","0.0","4.7"
"Noah Togiai","ARI","3.0","32.0","0.2","0.0","4.7"
"Mitchell Wilcox","CIN","0.0","44.1","0.0","0.0","4.4"
"Tyler Mabry","SEA","2.8","29.5","0.2","0.0","4.3"
"Feleipe Franks","ATL","3.1","29.4","0.2","0.0","4.3"
"Tyree Jackson","PHI","0.0","24.2","0.3","0.0","4.2"
"Pharaoh Brown","IND","2.0","37.9","0.1","0.1","4.1"
"Kaden Smith","WAS","3.3","29.6","0.2","0.0","4.0"
"Jake Tonges","CHI","2.7","25.8","0.2","0.0","3.8"
"Tyler Davis","GB","2.5","21.2","0.3","0.0","3.7"
"Matt Sokol","NE","1.7","17.2","0.3","0.0","3.6"
"MyCole Pruitt","ATL","0.0","11.0","0.3","0.0","2.9"
"Nick Vannett","HOU","2.1","19.0","0.1","0.0","2.7"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","0.8"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.2"
""
""